,loop,n_estimators,num_leaves,min_child_samples,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,learning_rate,random_state,score
44,44,1291,199,64,0.6512271618730257,0.6711593763438408,0.6638595985637723,1.2933220908210717e-08,4.707021187323773e-12,0.0019050628884013147,42,0.6941063394920551
22,22,2740,197,73,0.7027812950692323,0.4528707750549867,0.6233728303223506,3.178647739922072e-05,3.824295274538734e-15,0.06891437258930308,42,0.7023096181724628
17,17,2025,198,69,0.5901349608239788,0.7177160189834554,0.6794449749719036,1.1191841424399982e-05,1.3170939593910645e-09,0.09455546459652954,42,0.7185884455324124
6,6,2287,169,50,0.5250973603748835,0.5451837754920733,0.5563761968428904,0.0005648078878051786,4.6119700713655395e-12,0.09316484363355407,42,0.7186297709498807
37,37,2668,123,87,0.7207233484775546,0.7076286527907034,0.6959724058515214,2.7345200012330667e-08,4.162746643899512e-11,0.08434216704788886,42,0.7200444319832472
24,24,1332,147,74,0.6029148954092923,0.6258191682284864,0.5570055586581253,7.457639621506991e-08,5.7441033499641885e-11,0.0016156128622497937,42,0.7683689624592578
7,7,1406,115,72,0.5939272309036193,0.47139429830616386,0.5468656913096485,4.7361945506368336e-08,2.3963108642969977e-07,0.0015550397006126818,42,0.7711770829756542
48,48,823,142,62,0.778236733929625,0.4465202034961404,0.6185520467796285,1.8001399423897546e-06,3.3219626695673847e-15,0.001979551908438806,42,0.8620217178988522
2,2,724,150,86,0.5287476687055738,0.7072199657989828,0.5595420928927698,0.0008099472408929929,1.0311022473375031e-12,0.002287326423950659,42,0.8764181118255575
39,39,1555,139,97,0.5188313610521382,0.7711722806935187,0.5770774226019663,4.822365494791086e-05,2.3664828049393256e-15,0.0010335284084161253,42,0.8915781422528302
20,20,893,120,69,0.60160114163622,0.5933685085590145,0.6400080385117545,8.696442780514945e-06,3.2584349024586907e-10,0.0014674335311816418,42,0.958552085903419
15,15,662,190,65,0.7983252315346951,0.40794521660734345,0.5179128793300701,2.0306906554525486e-07,1.0120427147466318e-09,0.0014520598057189403,42,1.1090441739350267
26,26,700,189,60,0.5333174873862991,0.5644901911641109,0.5153174230956464,4.1906409471309454e-05,7.277361419417092e-10,0.0010448887837218208,42,1.224989372511882
